feature,auc,mean_human,mean_ai,std_human,std_ai,cohen_d
words_per_paragraph,0.8943939749630123,297.66716529543754,94.84099688836686,315.61998311044266,100.98767744113273,-0.8655839006797333
sentences_per_paragraph,0.893479780668156,15.651832460732985,4.674686169402877,15.245888591052793,5.870800100278351,-0.9502270437705465
paragraph_count,0.8482151784821518,1.0,5.8025197480251975,0.0,8.533007466807476,0.7959431170828356
sentence_length_std,0.6237284648498501,11.0005582167786,11.039030441312914,8.497549439463471,16.65589984917532,0.0029097762825969617
uppercase_ratio,0.5810286585402791,0.029440473254434277,0.025718876871371706,0.030630586015526446,0.022783993211214604,-0.13786796250119682
emb_pca_10,0.5784916833671905,0.022691147530706807,-0.006740294105115188,0.1037110724597992,0.10316798497945506,-0.2845270138886596
emb_pca_19,0.5683528692755258,0.017051940275491773,-0.003892494636981123,0.08639337390028516,0.08426178161010507,-0.2454400068526675
emb_pca_6,0.5621682409171199,-0.019026997376295773,0.005942942767330147,0.11922051812603775,0.11879865970107509,0.2098141935672634
sentence_count,0.5591682978299028,15.651832460732985,12.545645435456453,15.245888591052793,8.2541703491663,-0.2533791677785676
flesch_reading_ease,0.5571581398329875,50.94581492211039,38.849927901086865,33.95948823955657,222.92378600125267,-0.0758603192981213
emb_pca_15,0.5531215390054114,-0.014463862499496636,0.004049582372680092,0.08557254196933796,0.09498688209216362,0.20478943346216782
coleman_liau,0.5525709209183793,13.320166001277325,12.483031436534924,169.08222021956115,78.60256354302808,-0.006349297293811025
emb_pca_8,0.5517562118133736,0.015460392613473822,-0.0045858266388551045,0.11066901349759543,0.11195339320106097,-0.18008866167867368
flesch_kincaid_grade,0.5508470469333022,12.334550308115649,15.246223544429578,11.128480485284049,34.15727782030903,0.11462202502626154
emb_pca_4,0.5505955201039358,-0.015044394083026552,0.004723586406989901,0.14284493353780128,0.12579762032933361,0.14687397029066804
smog_index,0.5494521415472514,12.441109829227836,13.314178799338146,3.635218837034494,5.08396038096905,0.19755556328994936
hapax_ratio,0.5494330335104112,0.472631297723111,0.5046069112472364,0.08932202722043571,0.218295283839595,0.19172310476642837
gunning_fog,0.5491260709381567,14.666081679508101,17.05647892023522,11.327633427422443,16.068854841890886,0.17194802630113418
punct_dash_rate,0.5477000729246446,0.013804256357075263,0.01512604450044263,0.025950805463541293,0.15136202275967212,0.01217219720642266
long_word_ratio,0.5475151998637084,0.24848518178785098,0.2643846121742696,0.09161197396261012,0.10405592733587682,0.1621867861221938
emb_pca_42,0.5455593932005454,-0.00915826479752169,0.0022458661908129184,0.07004838292574353,0.06958908651809692,0.16333824072170086
digit_ratio,0.5441252247250967,0.008606012117818035,0.008999120771591209,0.011806413858169863,0.02281545297621469,0.021640963499457034
ari,0.543496005672432,16.655147736319133,18.352431891122666,138.1806822898948,67.86273046447637,0.015592014968350025
brunet_w,0.542757223903638,10.150116857462848,11.249440288551103,0.7424592424447769,6.954109181429296,0.22229911980916073
punct_semicolon_rate,0.5425343778262414,0.0022741671247797465,0.0013095584164222133,0.006623968525878917,0.011195057225513491,-0.10487161503235566
avg_word_length,0.5412151193257637,5.441752017225935,5.28181301932549,29.242724844243448,13.835530478433936,-0.006991776531595525
punct_exclaim_rate,0.540571073782674,0.001190932636502312,0.001908062437120496,0.0056653175312789674,0.007220629985565829,0.11050217046843733
emb_pca_16,0.5386625510971715,-0.00899405439647345,0.002696119059408709,0.09032842753680784,0.09143590347770009,0.12862761803066539
